img_fName,class_label,img_w,img_h,bbx_xtl,bbx_ytl,bbx_xbr,bbx_ybr
train_00101.jpeg,culex,768.0,1024.0,225.0,278.0,592.0,650.0
new_image_train_00018_3158.jpeg,culiseta,,,,,,
new_image_train_00172_1865.jpeg,aegypti,,,,,,
new_image_train_00018_2727.jpeg,culiseta,,,,,,
train_02058.jpeg,culex,1944.0,2592.0,592.0,1053.0,1357.0,1623.0
train_03877.jpeg,culex,1024.0,1820.0,553.0,820.0,681.0,964.0
new_image_train_00018_1882.jpeg,culiseta,,,,,,
new_image_train_00172_1801.jpeg,aegypti,,,,,,
new_image_train_00029_3698.jpeg,japonicus/koreicus,,,,,,
train_03831.jpeg,culex,1024.0,1820.0,530.0,753.0,960.0,1101.0
new_image_train_00006_4225.jpeg,anopheles,,,,,,
new_image_train_00172_1333.jpeg,aegypti,,,,,,
train_02017.jpeg,albopictus,1836.0,3264.0,704.0,1359.0,1139.0,1698.0
train_02542.jpeg,albopictus,768.0,1024.0,63.0,122.0,547.0,936.0
new_image_train_00006_3866.jpeg,anopheles,,,,,,
train_01143.jpeg,albopictus,741.0,1188.0,71.0,192.0,643.0,906.0
train_04952.jpeg,japonicus/koreicus,3024.0,4032.0,224.0,559.0,2132.0,3307.0
train_05490.jpeg,culiseta,2268.0,4032.0,812.0,2047.0,1284.0,2517.0
train_02284.jpeg,culex,1024.0,1365.0,269.0,401.0,758.0,978.0
new_image_train_00018_3688.jpeg,culiseta,,,,,,
new_image_train_00029_2450.jpeg,japonicus/koreicus,,,,,,
train_09454.jpeg,albopictus,4032.0,3024.0,1388.0,811.0,2844.0,2245.0
train_05787.jpeg,culex,1080.0,2280.0,440.0,1093.0,892.0,1594.0
train_03489.jpeg,albopictus,1944.0,2592.0,261.0,872.0,1234.0,1684.0
new_image_train_00172_4244.jpeg,aegypti,,,,,,
new_image_train_00018_2517.jpeg,culiseta,,,,,,
train_04407.jpeg,culex,768.0,1024.0,221.0,372.0,400.0,483.0
train_00486.jpeg,culex,3000.0,4000.0,462.0,291.0,2879.0,2872.0
train_04037.jpeg,culex,768.0,1024.0,172.0,457.0,287.0,627.0
new_image_train_00018_793.jpeg,culiseta,,,,,,
new_image_train_00029_4090.jpeg,japonicus/koreicus,,,,,,
train_06177.jpeg,albopictus,1125.0,2436.0,188.0,968.0,799.0,1404.0
new_image_train_00018_942.jpeg,culiseta,,,,,,
new_image_train_00006_1908.jpeg,anopheles,,,,,,
new_image_train_00006_3082.jpeg,anopheles,,,,,,
new_image_train_00006_763.jpeg,anopheles,,,,,,
new_image_train_00029_288.jpeg,japonicus/koreicus,,,,,,
new_image_train_00006_2992.jpeg,anopheles,,,,,,
new_image_train_00172_3800.jpeg,aegypti,,,,,,
new_image_train_00029_3403.jpeg,japonicus/koreicus,,,,,,
new_image_train_00029_942.jpeg,japonicus/koreicus,,,,,,
new_image_train_00172_581.jpeg,aegypti,,,,,,
train_02088.jpeg,culex,768.0,1024.0,246.0,465.0,381.0,622.0
train_05925.jpeg,albopictus,1200.0,1600.0,601.0,290.0,876.0,696.0
new_image_train_00172_936.jpeg,aegypti,,,,,,
train_08619.jpeg,culiseta,1166.0,2592.0,66.0,1364.0,702.0,1834.0
train_05628.jpeg,albopictus,1458.0,2592.0,585.0,1100.0,889.0,1365.0
train_01857.jpeg,culex,768.0,1024.0,301.0,578.0,621.0,805.0
train_01330.jpeg,culex,3000.0,4000.0,957.0,900.0,2277.0,2355.0
train_01790.jpeg,culex,768.0,1024.0,216.0,343.0,490.0,601.0
new_image_train_00029_3296.jpeg,japonicus/koreicus,,,,,,
new_image_train_00172_4072.jpeg,aegypti,,,,,,
new_image_train_00018_3764.jpeg,culiseta,,,,,,
new_image_train_00029_1378.jpeg,japonicus/koreicus,,,,,,
train_00351.jpeg,culex,4000.0,3000.0,641.0,863.0,3366.0,2550.0
train_03781.jpeg,culex,1960.0,4032.0,774.0,1821.0,1345.0,2265.0
